txn_amount,merchant_risk_score,is_international,gateway_load,processing_seconds
108488.6,0.9,0,0.1,1.82
91452.4,0.8,1,0.8,3.51
83348.4,0.4,0,0.6,1.94
169034.1,0.5,0,0.5,1.24
175320.0,0.3,1,0.8,1.92
167524.5,0.6,0,0.6,1.63
85777.1,0.9,1,1.0,4.1
117588.7,0.9,1,0.5,2.9
139533.3,0.7,0,0.6,1.78
77005.6,0.9,0,0.4,2.11
129424.2,0.6,1,0.4,2.33
172047.1,0.7,1,0.2,1.55
185671.6,0.9,1,0.9,3.35
56242.4,0.3,1,0.7,2.64
102503.1,0.6,1,0.5,3.86

163111.0,0.3,1,0.3,1.02
55093.6,0.2,1,0.1,2.43
176323.8,0.9,1,1.0,3.15
104018.0,0.7,0,0.5,2.15
167204.1,0.3,0,0.4,0.94
