txn_amount,merchant_risk_score,is_international,gateway_load,processing_seconds
35090.9,0.3,0,0.6,1.49
52078.7,0.5,1,0.8,3.3
13587.6,0.3,1,0.4,2.21
12554.6,0.5,0,0.2,1.98
44133.8,0.6,1,0.8,3.67
12937.2,0.3,1,0.4,3.2
43799.6,0.9,0,0.1,2.15
39245.4,0.2,1,0.2,2.43
81804.4,0.3,0,0.6,1.36
40842.3,0.2,0,0.8,1.47
78413.2,0.7,0,0.5,2.59
8207.1,0.7,1,0.8,3.61
45435.7,0.3,0,0.7,1.47
96491.6,0.5,1,0.4,2.57
16443.1,0.2,0,0.2,1.27
46704.4,0.3,1,0.4,2.06
1766.7,0.9,1,0.2,3.66
23634.0,0.9,0,0.8,3.52
22074.2,0.5,0,0.6,2.7
47067.5,0.6,1,0.4,3.98
18845.1,0.5,0,0.3,1.92
13807.1,0.3,0,0.7,1.89
72277.1,0.4,1,0.5,1.64
89459.8,0.4,1,1.0,2.6
38935.4,0.4,0,0.3,2.3
